,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
716,3600539,"['고추', '양파', '유채또는상추나쌈재료', '청주', '멸치액젓', '통깨약간', '생강즙', '마늘', '고춧가루', '삼겹살']","['조미료류', '주류', '견과류 및 종실류', '어패류 및 기타 수산물', '채소류', '육류']","['고추', '참깨', '양파', '생강', '상추', '청주', '멸치젓', '돼지고기', '마늘', '고춧가루']"
717,306,"['고추', '파', '떡', '설탕', '라면', '어묵', '마늘', '고춧가루']","['조미료류', '당류', '조리가공품류', '곡류 및 그 제품', '어패류 및 기타 수산물', '채소류']","['고추', '파', '설탕', '라면', '어묵', '멥쌀떡', '마늘', '고춧가루']"
718,493,"['김치', '파', '간장', '꽁치', '마늘', '무']","['조미료류', '어패류 및 기타 수산물', '채소류']","['김치', '파', '간장', '꽁치', '마늘', '무']"
719,2509789,"['메추리알', '육수', '고추', '파', '생강', '물엿', '설탕', '건파뿌리조금', '다시마조금', '청주', '쇠고기사태살', '통후추조금', '마늘', '양파']","['조미료류', '당류', '난류', '해조류', '주류', '채소류', '육류']","['메추리알', '고추', '파', '생강', '물엿', '설탕', '다시마', '청주', '소고기', '마늘', '양파', '후추']"
720,1657950,"['육수', '떡볶이떡', '후추약간', '스테이크용육우등심가능', '바질잎', '와인', '새송이버섯', '발사믹식초', '바베큐소스나토마토페이스트', '소금', '굴소스', '올리브오일', '마늘', '양파']","['조미료류', '버섯류', '유지류', '주류', '곡류 및 그 제품', '채소류', '육류']","['포도주', '바질잎', '올리브유', '바비큐 소스', '굴 소스', '큰느타리버섯(새송이버섯)', '멥쌀떡', '발사믹식초', '소금', '소고기', '마늘', '양파', '후추']"
721,1666626,"['밥적당량', '파', '닭', '대추', '다시마', '후춧가루적당량', '인삼', '삼백초', '소금', '마늘', '양파']","['조미료류', '기타', '해조류', '곡류 및 그 제품', '과실류', '채소류', '육류']","['파', '대추', '다시마', '삼백초', '인삼', '소금', '닭고기', '마늘', '양파', '후추', '멥쌀']"
722,6863142,"['동태', '맛술', '간장', '파약간', '설탕', '냉동고니', '마늘', '고춧가루', '무']","['어패류 및 기타 수산물', '조미료류', '당류', '채소류']","['맛술', '파', '간장', '설탕', '명태', '마늘', '고춧가루', '무']"
723,4004256,"['소시지', '파', '파프리카', '식용유', '굴소스', '마늘']","['조미료류', '유지류', '채소류', '육류']","['소시지', '혼합식물성유', '파', '파프리카', '굴 소스', '마늘']"
724,6832152,"['검은깨나통깨약간', '고추', '후추약간', '간장', '설탕', '감자', '당근약간', '곤약적당량', '마늘', '고춧가루']","['조미료류', '당류', '감자 및 전분류', '견과류 및 종실류', '채소류']","['고추', '참깨', '간장', '설탕', '감자', '곤약', '당근', '마늘', '고춧가루', '후추']"
725,3988731,"['맛술', '고추', '간장', '올리고당', '슬라이스아몬드', '마늘', '멸치']","['조미료류', '당류', '견과류 및 종실류', '어패류 및 기타 수산물', '채소류']","['맛술', '고추', '간장', '물엿', '아몬드', '마늘', '멸치']"
726,40,"['고추', '후춧가루', '파', '닭', '간장', '소금', '생강즙', '마늘', '고춧가루']","['조미료류', '채소류', '육류']","['고추', '파', '간장', '생강', '소금', '닭고기', '마늘', '고춧가루', '후추']"
