,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
412,6911149,"['가죽나물', '소금', '고추', '설탕', '마늘', '참기름', '매실청', '대파흰부분']","['당류', '조미료류', '과실류', '채소류', '유지류']","['가죽나물', '소금', '고추', '설탕', '마늘', '참기름', '파', '매실청']"
413,6919179,"['간장', '고추', '고춧가루', '설탕', '마늘', '멸치액젓', '매실액', '감자', '파', '깻잎', '어묵', '양배추', '멸치육수', '양파']","['당류', '어패류 및 기타 수산물', '조미료류', '과실류', '감자 및 전분류', '채소류']","['간장', '고추', '고춧가루', '설탕', '마늘', '감자', '매실', '멸치', '파', '어묵', '양배추', '멸치젓', '양파', '들깻잎']"
414,6939663,"['올리고당', '손질장어', '깨', '고추', '간장', '고춧가루', '마늘', '생강', '식용유', '참기름']","['당류', '곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '채소류', '유지류']","['물엿', '고추', '간장', '고춧가루', '마늘', '생강', '참기름', '혼합식물성유', '참깨', '장어']"
415,88,"['배', '밤', '통생강', '소금', '말린표고버섯', '고추', '배추', '미나리', '대추', '마늘', '파', '무', '잣', '석이버섯']","['조미료류', '버섯류', '과실류', '채소류', '견과류 및 종실류']","['배', '밤', '소금', '고추', '배추', '미나리', '대추', '마늘', '생강', '파', '무', '표고버섯', '잣', '석이버섯']"
416,227,"['간장', '미나리', '숙주', '마늘', '고춧가루', '후춧가루', '두부', '육수', '생강', '돼지고기', '파', '느타리버섯', '표고버섯', '양파', '김치']","['조미료류', '버섯류', '육류', '두류', '채소류']","['간장', '미나리', '고춧가루', '마늘', '소고기', '두부', '생강', '숙주나물', '돼지고기', '파', '느타리버섯', '표고버섯', '후추', '양파', '김치']"
417,269,"['소금', '고추', '미나리', '숙주', '마늘', '파', '참기름']","['유지류', '조미료류', '채소류']","['소금', '고추', '미나리', '마늘', '숙주나물', '파', '참기름']"
418,360,"['콩', '소금', '간장', '미나리', '팥', '소고기', '후춧가루', '김', '조', '참기름', '쌀', '수수']","['곡류 및 그 제품', '조미료류', '육류', '해조류', '두류', '채소류', '유지류']","['소금', '간장', '미나리', '팥', '소고기', '콩(대두)', '김', '조', '참기름', '후추', '멥쌀', '수수']"
419,439,"['쪽파', '소금', '고추', '미나리', '설탕', '마늘', '열무', '생강', '얼갈이배추', '밀가루', '정종', '양파']","['당류', '곡류 및 그 제품', '조미료류', '주류', '채소류']","['밀', '소금', '고추', '청주', '미나리', '설탕', '마늘', '열무', '생강', '얼갈이배추', '파', '양파']"
420,640790,"['소금', '간장', '미나리', '소고기', '마늘', '계란', '파', '참기름', '청포묵', '조미김']","['조미료류', '육류', '해조류', '두류', '채소류', '난류', '유지류']","['녹두묵', '소금', '간장', '미나리', '소고기', '마늘', '파', '참기름', '달걀', '김']"
421,1656708,"['삭힌홍어', '고추', '간장', '고춧가루', '미나리', '마늘', '굵은콩나물', '파']","['어패류 및 기타 수산물', '조미료류', '채소류']","['콩나물', '고추', '간장', '고춧가루', '미나리', '마늘', '파', '홍어']"
422,6869702,"['배', '물엿', '상추', '큰낙지작은낙지', '식초', '고추', '고춧가루', '미나리', '설탕', '밥', '양파']","['당류', '곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '과실류', '채소류']","['배', '물엿', '상추', '식초', '고추', '낙지', '고춧가루', '미나리', '멥쌀밥', '설탕', '양파']"
423,6931126,"['콩나물', '간장', '고추', '미나리', '설탕', '마늘', '고춧가루', '멸치액젓', '참기름', '파', '양파']","['당류', '어패류 및 기타 수산물', '조미료류', '채소류', '유지류']","['콩나물', '간장', '고추', '미나리', '설탕', '마늘', '고춧가루', '참기름', '파', '멸치젓', '양파']"
424,295,"['파인애플', '간장', '청주', '숙주', '설탕', '식용유', '계란', '참기름', '밥', '브로콜리', '닭', '피망', '당근']","['당류', '곡류 및 그 제품', '조미료류', '과실류', '육류', '주류', '채소류', '난류', '유지류']","['파인애플', '닭고기', '간장', '청주', '설탕', '멥쌀밥', '숙주나물', '참기름', '브로콜리', '달걀', '혼합식물성유', '피망', '당근']"
425,1005520,"['쇠고기갈은것', '숙주', '마늘', '돼지고기', '파', '두부꼭짠것', '달걀', '당면', '김치']","['조미료류', '육류', '감자 및 전분류', '두류', '채소류', '난류']","['소고기', '마늘', '두부', '돼지고기', '숙주나물', '파', '달걀', '당면', '김치']"
426,6386578,"['식초', '간장', '알배기배추', '숙주', '소고기', '마늘', '표고', '고추', '레몬청', '멸치', '파', '무', '깻잎', '표고버섯', '다시마', '팽이버섯', '양파']","['어패류 및 기타 수산물', '조미료류', '버섯류', '과실류', '육류', '해조류', '채소류']","['식초', '간장', '배추', '소고기', '고추', '마늘', '숙주나물', '멸치', '레몬', '파', '무', '표고버섯', '다시마', '팽이버섯', '양파', '들깻잎']"
427,7000305,"['국물용멸치', '청경채', '식초', '숙주', '파', '무', '깻잎', '홀그레인머스타드', '다시마', '표고버섯', '속배추', '팽이버섯', '양파']","['어패류 및 기타 수산물', '조미료류', '버섯류', '해조류', '채소류']","['청경채', '식초', '배추', '숙주나물', '멸치', '파', '무', '겨자', '다시마', '표고버섯', '팽이버섯', '양파', '들깻잎']"
428,50,"['배', '밤', '소금', '고추', '간장', '설탕', '소고기', '마늘', '후춧가루', '청주', '계란', '파', '참기름', '무', '표고버섯', '은행', '잣', '당근']","['당류', '조미료류', '버섯류', '과실류', '육류', '주류', '채소류', '난류', '견과류 및 종실류', '유지류']","['배', '밤', '소금', '고추', '간장', '설탕', '소고기', '마늘', '청주', '파', '참기름', '무', '달걀', '표고버섯', '후추', '은행', '잣', '당근']"
429,80,"['콩나물', '소금', '고추', '장조림', '새우젓', '마늘', '계란', '밥', '파', '쇠고기육수', '김', '김치']","['곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '육류', '해조류', '채소류', '난류']","['콩나물', '소금', '고추', '소고기', '새우젓', '마늘', '멥쌀밥', '파', '달걀', '김', '김치']"
430,92,"['간장', '고추', '설탕', '소고기', '마늘', '생강', '계란', '참기름', '파']","['당류', '조미료류', '육류', '채소류', '난류', '유지류']","['간장', '고추', '설탕', '소고기', '마늘', '생강', '참기름', '파', '달걀']"
